participantID,wordSetID,rt,word,button_pressed,response_r,response_g,response_b,response_munsell,trial_index,time_elapsed,condition
271,1,2376.269999993383,magazine,32,181,182,181,N7,66,352061,block2_target_trial
489,1,1550.000000046566,elegance,51,124,112,186,10PB5/10,101,501405,block2_target_trial
448,1,1976.7399999983609,skin,12,255,186,123,5YR8/8,39,1235260,block1_target_trial
491,1,3232.65999997966,regret,44,216,65,0,10R5/16,123,871489,block2_target_trial
264,1,9045.415000000505,democracy,40,96,151,219,5PB6/10,116,669569,block2_target_trial
588,1,1441.304999985732,reality,38,0,173,154,5BG6/10,93,296855,block2_target_trial
448,1,1854.5450000092387,bunkbed,37,29,171,113,5G6/10,40,1237636,block1_target_trial
489,1,2040.999999968335,dream,47,54,142,15,10GY5/12,103,506502,block2_target_trial
113,1,4470.6200000073295,elegance,52,181,89,164,10P5/12,77,919027,block2_target_trial
491,1,2500.650000059977,needle,9,242,226,227,10RP9/2,125,876546,block2_target_trial
271,1,3137.4349999969127,kangaroo,56,146,80,27,5YR4/8,68,358958,block2_target_trial
482,1,4733.589999988908,anxiety,33,239,107,106,5R6/12,121,421825,block2_target_trial
365,1,3862,tree,56,146,80,27,5YR4/8,133,809857,block2_target_trial
152,1,93763.99999999558,needle,38,0,173,154,5BG6/10,41,219501,block1_target_trial
588,1,1587.07000000868,bus,2,238,234,140,10Y9/6,95,302026,block2_target_trial
489,1,1540.000000037253,passion,50,0,146,196,10B5/12,105,510564,block2_target_trial
448,1,6687.354999987176,democracy,55,190,26,52,5R4/14,41,1244843,block1_target_trial
482,1,2064.4150000007357,bracelet,32,181,182,181,N7,123,426471,block2_target_trial
271,1,2041.9850000034785,needle,21,202,202,202,N8,70,363942,block2_target_trial
491,1,2951.7800000030547,trouble,55,190,26,52,5R4/14,127,882020,block2_target_trial
77,1,12346.245000022464,diner,34,231,111,0,5YR6/14,31,180759,block1_target_trial
588,1,1560.074999986682,dream,19,211,197,223,5P8/4,97,306270,block2_target_trial
489,1,1388.0000000353905,toast,72,0,79,142,10B3/10,107,514326,block2_target_trial
448,1,2984.125000002794,misconception,86,91,20,66,5RP2/8,42,1248342,block1_target_trial
365,1,4284,misconception,55,190,26,52,5R4/14,135,817171,block2_target_trial
113,1,3142.105000006268,reality,84,0,58,101,5PB2/8,79,929015,block2_target_trial
448,1,2411.3500000094064,freedom,61,0,121,148,5B4/10,43,1251269,block1_target_trial
482,1,1815.2750000008384,discomfort,44,216,65,0,10R5/16,125,431676,block2_target_trial
